original,label,antonym_raw,add_not_raw,antonym,add_not
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative,"Operating result disprove a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .","Operating result didn't show a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .","Operating results disprove a loss of EUR 2.9 mn, while a year before it showed a profit of EUR 0.6 mn.","Operating results didn't show a loss of EUR 2.9 mn , while a year before it showed a profit of EUR 0.6 mn ."
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative,L & T 's gross profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,L & T 's net profit for the whole 2010 didn't drop to EUR 36 million from EUR 45 million for 2009 .,L & T's gross profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,L & T's net profit for the whole 2010 didn't drop to EUR 36 million from EUR 45 million for 2009 .
The company expects net sales to significantly increase from 2009 .,positive,The company expects gross sales to significantly increase from 2009 .,The company doesn't expect net sales to significantly increase from 2009 .,The company expects gross sales to significantly increase from 2009 .,The company doesn't expect net sales to significantly increase from 2009 .
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,negative,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,Repeats doesn't see 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS.,Repeats doesn't see 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS.
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,negative,incomparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,Comparable operating profit didn't decrease to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,Incomparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005.,Comparable operating profit didn't decrease to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005.
"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",positive,"The three year turn-around program is expected to ensure Salomon 's past competitiveness , the company said .","The three year turn-around program isn't expected to ensure Salomon 's future competitiveness , the company said .","The three year turn-around program is expected to ensure Salomon's past competitiveness, the company said.","The three year turn-around program isn't expected to ensure Salomon's future competitiveness, the company said."
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,"incomparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .","Comparable operating profit for the quarter didn't decrease from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",The incomparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m compared to the third quarter 2007 .,"Comparable operating profit for the quarter didn't decrease from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 ."
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",negative,"Pretax gain totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .","Pretax loss didn't totale EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .","Pretax gain totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .","Pretax loss didn't total EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 ."
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive,Operating profit fall to EUR 27.8 mn from EUR 17.5 mn in 2008 .,Operating profit didn't rise to EUR 27.8 mn from EUR 17.5 mn in 2008 .,Operating profit fell to EUR 27.8 mn from EUR 17.5 mn in 2008 .,Operating profit didn't rise to EUR 27.8 mn from EUR 17.5 mn in 2008 .
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",negative,"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .","Operating profit didn't totale EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .","Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005.","Operating profit didn't total EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005."
Salonen added that data shows producers ' pulp inventories in North America are declining . ',negative,Salonen take_away that data shows producers ' pulp inventories in North America are declining . ',Salonen didn't add that data shows producers ' pulp inventories in North America are declining . ',Salonen take_away: Data shows producers ' pulp inventories in North America are declining. ',Salonen didn't add that data shows producers ' pulp inventories in North America are declining. '
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",negative,"malfunction profits in the half were 0.8 m , down from 0.9 m as Glisten invested in the brand and the management team .","not Operating profits in the half were 0.8 m , down from 0.9 m as Glisten invested in the brand and the management team .","Profits in the half were 0.8 m , down from 0.9 m as Glisten invested in the brand and the management team.","Operating profits in the half were 0.8 m , down from 0.9 m as Glisten invested in the brand and the management team ."
Our standardised services have met with a positive reception among our customers as well as at Itella .,positive,Our standardised disservice have met with a positive reception among our customers as well as at Itella .,Our standardised services don't have met with a positive reception among our customers as well as at Itella .,Our standardised disservice has met with a positive reception among our customers as well as at Itella .,Our standardised services haven't met with a positive reception among our customers as well as at Itella .
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,positive,Production incapacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,Production capacity will not increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,Production incapacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board.,Production capacity will not increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board.
"Full-year net sales are expected to increase by approximately 10 % , the company said .",positive,"Full-year gross sales are expected to increase by approximately 10 % , the company said .","Full-year net sales aren't expected to increase by approximately 10 % , the company said .","Full-year gross sales are expected to increase by approximately 10 %, the company said.","Full-year net sales aren't expected to increase by approximately 10 %, the company said."
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,negative,25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to disunify wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V didn't say today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,SCF1V said today its plan to disunify wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal.,SCF1V didn't say today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal.
"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .",positive,"`` The transaction weaken our position ... in design and branded goods , `` said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .","`` The transaction doesn't strengthen our position ... in design and branded goods , `` said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .","The transaction weakens our position ... in design and branded goods,  said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations.","The transaction doesn't strengthen our position ... in design and branded goods,  said Fiskars president and CEO Heikki Allonen, pointing out that the two groups have relatively few overlapping operations."
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",negative,"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % increase in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .","Belarus OAO Lidskoe Pivo brewery , not based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .","Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % increase in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .","Belarus OAO Lidskoe Pivo brewery , not based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told ."
"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",positive,"`` The old structure provides better communication , faster decision-making and cost savings , `` Proha said .","`` The new structure doesn't provide better communication , faster decision-making and cost savings , `` Proha said ."," The old structure provides better communication , faster decision-making and cost savings,  Proha said.","The new structure doesn't provide better communication , faster decision-making and cost savings, said Proha."
This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,positive,This acquisition negate our strategy of being close to our customers all around the world offering both equipment and related services .,This acquisition doesn't support our strategy of being close to our customers all around the world offering both equipment and related services .,This acquisition negates our strategy of being close to our customers all around the world offering both equipment and related services.,"This acquisition doesn't support our strategy of being close to our customers all around the world, offering both equipment and related services."
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,"Finnish nonfinancial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .","Finnish financial group Aktia doesn't report operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .","Finnish non-financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .","Finnish financial group Aktia doesn't report operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 ."
The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,positive,The transactions would decrease earnings per share in the first quarter by some EUR0 .28 .,The transactions would not increase earnings per share in the first quarter by some EUR0 .28 .,The transactions would decrease earnings per share in the first quarter by around EUR0 .28 .,The transactions would not increase earnings per share in the first quarter by around EUR0 .28 .
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,Vaisala 's gross profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,Vaisala 's net profit for the third quarter of 2007 didn't drop to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,Vaisala's gross profit for the third quarter of 2007 dropped to 3.0 million euro ( $ 4.3 million ) from 6.8 million euro ( $ 9.8 million ) for the same period of 2006 .,Vaisala's net profit for the third quarter of 2007 didn't drop to 3.0 million euro ( $ 4.3 million ) from 6.8 million euro ( $ 9.8 million ) for the same period of 2006 .
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",negative,"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .","Operating profit didn't total EUR 30.2 mn , down from EUR 43.8 mn a year earlier .","Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier.","Operating profit didn't total EUR 30.2 mn , down from EUR 43.8 mn a year earlier."
"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",negative,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L & T , said today its net profit better to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .","26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L & T , didn't say today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .","26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L & T , said today its net profit improved to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier.","26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L & T , didn't say today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier."
The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,positive,The old factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,The new factory not working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,The old factory working model and reorganisations would decrease Nokian Tyres' costs in the factory by EUR 30 million ( USD 38.7 m ) .,The new factory not working model and reorganisations would decrease Nokian Tyres' costs in the factory by EUR 30 million ( USD 38.7 m ) .
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive,The company unbend to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,The company didn't turn to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,The company earns earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,The company didn't turn to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .
